sim,risk_difference,b,c,p_value,significant
0,0.10000000000000003,22,14,0.2429849540349096,False
1,0.10000000000000003,20,12,0.21532714972272515,False
2,0.10000000000000003,23,15,0.2558750795433298,False
3,0.10000000000000003,24,16,0.26818725105476915,False
4,0.10000000000000003,18,10,0.1849333420395851,False
5,0.10000000000000003,21,13,0.22948101302608848,False
6,0.10000000000000003,21,13,0.22948101302608848,False
7,0.10000000000000003,23,15,0.2558750795433298,False
8,0.10000000000000003,16,8,0.15158963203430176,False
9,0.10000000000000003,25,17,0.27995623852893914,False
10,0.10000000000000003,16,8,0.15158963203430176,False
11,0.10000000000000003,20,12,0.21532714972272515,False
12,0.10000000000000003,22,14,0.2429849540349096,False
13,0.10000000000000003,20,12,0.21532714972272515,False
14,0.10000000000000003,24,16,0.26818725105476915,False
15,0.10000000000000003,21,13,0.22948101302608848,False
16,0.10000000000000003,19,11,0.20048842206597328,False
17,0.10000000000000003,22,14,0.2429849540349096,False
18,0.10000000000000003,27,19,0.3019956131896606,False
19,0.10000000000000003,20,12,0.21532714972272515,False
